City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Description
71,Solnechnyy,RU,50.7214,136.6319,58.95,58.95,89,100,3.78,overcast clouds
72,Adrar,MR,20.5022,-10.0711,92.25,92.25,27,34,7.43,scattered clouds
73,Cape Town,ZA,-33.9258,18.4232,56.37,46.11,75,0,5.75,clear sky
74,Moyale,KE,3.5167,39.0584,65.98,65.98,73,85,14.03,overcast clouds
75,Lompoc,US,34.6391,-120.4579,80.69,76.59,68,20,12.66,few clouds
76,Ribeira Grande,PT,38.5167,-28.7,73.0,73.0,78,100,19.71,overcast clouds
77,Kapaa,US,22.0752,-159.319,81.19,79.48,77,75,5.75,broken clouds
78,Saint-Philippe,RE,-21.3585,55.7679,63.99,60.12,78,39,9.44,scattered clouds
79,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,70.12,77,0,5.01,clear sky
80,La Ronge,CA,55.1001,-105.2842,66.42,64.65,42,75,2.3,broken clouds
81,Bichura,RU,50.5881,107.6022,66.7,66.7,45,95,2.86,overcast clouds
82,Sur,OM,22.5667,59.5289,86.0,86.0,56,96,6.64,overcast clouds
83,Santa Marinella,IT,42.0345,11.8536,71.71,62.51,70,0,3.69,clear sky
84,Cidreira,BR,-30.1811,-50.2056,56.93,56.93,73,49,14.74,scattered clouds
85,Alyangula,AU,-13.8483,136.4192,82.38,82.38,70,36,6.73,scattered clouds
86,Macapa,BR,0.0389,-51.0664,82.38,82.38,78,0,1.14,clear sky
87,Te Anau,NZ,-45.4167,167.7167,48.83,48.83,82,100,4.83,light rain
88,Longyearbyen,SJ,78.2186,15.6401,35.44,35.44,80,75,17.27,broken clouds
89,East London,ZA,-33.0153,27.9116,58.98,58.98,76,100,15.03,light rain
90,Mar Del Plata,AR,-38.0023,-57.5575,55.09,50.02,75,0,11.99,clear sky
91,Vardo,NO,70.3705,31.1107,44.58,44.58,93,100,8.05,overcast clouds
92,Katsuura,JP,35.1333,140.3,78.67,78.67,82,97,19.62,overcast clouds
93,San Ramon,US,37.7799,-121.978,84.42,59.25,45,79,5.35,broken clouds
94,Torbay,CA,47.6666,-52.7314,59.76,56.5,97,100,17.27,fog
95,Hofn,IS,64.2539,-15.2082,51.44,51.44,77,72,8.19,broken clouds
96,Hithadhoo,MV,-0.6,73.0833,82.0,82.0,70,6,11.95,clear sky
97,Manzhouli,CN,49.6,117.4333,60.24,60.24,35,38,10.45,scattered clouds
98,Muros,ES,42.7762,-9.0603,70.16,65.68,90,98,4.9,overcast clouds
99,Wharton,US,29.3116,-96.1027,83.98,76.01,70,0,0.0,clear sky
100,Liku,ID,-0.7275,119.8922,81.61,81.61,73,100,1.34,overcast clouds
101,Hamilton,US,39.1834,-84.5333,71.78,66.88,94,75,1.01,broken clouds
102,Zhanaozen,KZ,43.3,52.8,57.06,57.06,33,86,13.96,overcast clouds
103,Codrington,AU,-38.2667,141.9667,52.92,52.92,67,55,13.8,broken clouds
104,Laguna,US,38.421,-121.4238,91.31,82.02,29,0,8.05,clear sky
105,Merauke,ID,-8.4667,140.3333,84.78,84.78,69,94,9.91,overcast clouds
106,Broceni,LV,56.7,22.5333,47.64,47.64,94,99,4.79,overcast clouds
107,Uruzgan,AF,32.8333,66.0,70.18,70.18,19,0,2.37,clear sky
108,Athens,GR,37.9795,23.7162,79.25,75.58,62,20,4.0,few clouds
109,Iqaluit,CA,63.7506,-68.5145,44.33,43.7,87,75,6.91,broken clouds
110,Saint-Pierre,RE,-21.3393,55.4781,72.57,60.19,55,0,8.05,clear sky
111,Castro,BR,-24.7911,-50.0119,53.73,53.73,98,98,6.51,overcast clouds
112,Vaini,TO,-21.2,-175.2,82.56,82.56,69,20,8.05,few clouds
113,Sekoma,BW,-24.4,23.8833,62.28,62.28,19,0,7.34,clear sky
114,Kruisfontein,ZA,-34.0033,24.7314,51.89,51.89,80,54,9.26,broken clouds
115,Campo Maior,BR,-4.8278,-42.1686,78.84,78.84,61,91,8.48,overcast clouds
116,Kardla,EE,58.9978,22.7492,49.39,49.39,71,4,3.56,clear sky
117,Maceio,BR,-9.6658,-35.7353,69.24,69.24,94,20,1.14,few clouds
118,Carnarvon,AU,-24.8667,113.6333,69.73,69.73,58,5,6.91,clear sky
119,Mitsamiouli,KM,-11.3847,43.2844,74.01,74.01,74,22,5.1,few clouds
120,Kaniama,CD,-7.5667,24.1833,68.72,68.72,84,53,3.31,broken clouds
121,Pevek,RU,69.7008,170.3133,40.5,40.5,74,4,2.64,clear sky
122,Chapais,CA,49.7834,-74.8492,62.38,62.38,94,100,5.14,overcast clouds
123,Airai,TL,-8.9266,125.4092,77.52,77.52,30,76,3.74,broken clouds
124,Whittlesea,ZA,-32.1759,26.8244,46.96,46.96,75,100,6.98,overcast clouds
125,Agadez,NE,19.75,10.25,83.17,83.17,16,21,10.11,few clouds
126,Sioux Lookout,CA,50.1001,-91.917,57.27,57.27,67,20,4.61,few clouds
127,Chuy,UY,-33.6971,-53.4616,47.41,47.41,89,94,2.57,overcast clouds
128,Geraldton,AU,-28.7667,114.6,66.61,66.61,77,0,10.36,clear sky
129,Port Elizabeth,ZA,-33.918,25.5701,54.1,53.31,96,75,3.44,light rain
130,Bud,US,39.447,-86.1758,66.67,62.89,90,44,11.39,scattered clouds
131,Sungairaya,ID,0.7,108.9,84.07,84.07,70,95,2.01,overcast clouds
132,Minggang,CN,32.4586,114.0486,81.1,81.1,45,0,5.86,clear sky
133,Carutapera,BR,-1.195,-46.02,78.08,78.08,82,3,7.02,clear sky
134,Saldanha,ZA,-33.0117,17.9442,44.65,44.65,71,0,15.05,clear sky
135,Cabo San Lucas,MX,22.8909,-109.9124,84.51,80.19,74,17,7.65,few clouds
136,Santo Antonio Do Ica,BR,-3.1022,-67.9397,76.57,76.57,86,60,2.75,broken clouds
137,Portland,US,45.5234,-122.6762,77.49,72.23,55,89,1.01,overcast clouds
138,Beringovskiy,RU,63.05,179.3167,46.6,46.6,74,67,19.42,broken clouds
139,Yankton,US,42.8711,-97.3973,70.05,70.05,40,0,0.0,clear sky
140,Lawigan,PH,10.487,122.0354,84.36,84.36,74,63,7.43,broken clouds
141,Aklavik,CA,68.2191,-135.0107,43.86,43.86,89,98,5.57,overcast clouds
142,Bambous Virieux,MU,-20.3428,57.7575,68.25,68.22,88,75,6.91,broken clouds
143,Labuhan,ID,-6.8844,112.2051,83.98,83.98,66,90,7.58,overcast clouds
144,Mineiros,BR,-17.5694,-52.5511,77.14,77.14,25,36,5.12,scattered clouds
145,Salalah,OM,17.0151,54.0924,78.12,78.12,92,93,4.72,overcast clouds
146,Severo-Kurilsk,RU,50.6789,156.125,56.23,56.23,76,70,10.4,broken clouds
147,Shache,CN,38.4167,77.2406,71.71,71.71,19,100,11.43,overcast clouds
148,Asmara,ER,15.3333,38.9333,61.61,61.61,57,15,3.96,few clouds
149,Charlestown,AU,-32.95,151.6667,67.01,62.42,50,0,3.0,clear sky
150,Show Low,US,34.2542,-110.0298,70.09,65.14,61,20,0.0,few clouds
151,Pital,CO,2.2665,-75.8044,67.23,67.23,81,1,5.12,clear sky
152,Balykshi,KZ,47.0667,51.8667,44.6,44.6,65,0,8.95,clear sky
153,Asau,RO,46.4333,26.4,52.72,52.29,92,43,5.37,scattered clouds
154,Ilulissat,GL,69.2167,-51.1,39.99,39.99,92,100,10.29,light rain
155,Barrow,US,71.2906,-156.7887,37.42,37.42,93,100,17.27,mist
156,Sysert,RU,56.4953,60.8192,42.78,42.1,94,98,1.83,light rain
157,New Norfolk,AU,-42.7826,147.0587,49.5,41.9,73,29,4.0,scattered clouds
158,Saskylakh,RU,71.9167,114.0833,38.48,38.48,68,40,9.64,scattered clouds
159,Mahebourg,MU,-20.4081,57.7,68.29,68.25,88,75,6.91,broken clouds
160,Iowa City,US,41.6611,-91.5302,63.57,57.49,73,51,5.7,broken clouds
161,Verkhoyansk,RU,67.5447,133.385,41.85,41.85,71,100,4.5,overcast clouds
162,Leningradskiy,RU,69.3833,178.4167,43.03,43.03,75,23,12.57,few clouds
163,Tome,CL,-36.6167,-72.95,47.01,47.01,83,42,1.41,scattered clouds
164,Dawlatabad,AF,36.4141,64.9053,59.22,59.22,22,0,2.89,clear sky
165,Nhulunbuy,AU,-12.2333,136.7667,86.61,86.61,58,40,10.36,scattered clouds
166,Drayton Valley,CA,53.2168,-114.9854,64.04,64.04,57,100,5.41,overcast clouds
167,Lorengau,PG,-2.0226,147.2712,82.69,82.69,74,29,8.95,scattered clouds
168,Sinnamary,GF,5.3833,-52.95,78.64,78.64,84,8,6.29,clear sky
169,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.16,68.16,76,100,7.72,overcast clouds
170,Kohlu,PK,29.8962,69.252,78.96,78.96,57,0,2.15,clear sky
171,Gao,ML,16.6362,1.637,89.2,89.2,39,70,8.21,broken clouds
172,Candolim,IN,15.5181,73.7626,78.8,78.8,89,100,11.5,light rain
173,Flinders,AU,-34.5833,150.8552,69.06,63.25,49,14,8.01,few clouds
174,Mount Gambier,AU,-37.8333,140.7667,54.12,54.12,52,56,7.92,broken clouds
175,Ojinaga,MX,29.5667,-104.4167,81.55,80.56,54,0,11.5,clear sky
176,Constitucion,CL,-35.3333,-72.4167,47.34,47.34,83,0,3.33,clear sky
177,Marsh Harbour,BS,26.5412,-77.0636,84.51,84.51,69,11,7.54,few clouds
178,Odweyne,SO,9.4092,45.064,72.01,72.01,63,7,11.41,clear sky
179,San Patricio,US,28.017,-97.5169,84.83,80.08,64,53,5.26,broken clouds
180,Honningsvag,NO,70.9821,25.9704,42.55,42.55,87,100,12.66,light rain
181,Kloulklubed,PW,7.0419,134.2556,82.87,82.87,75,63,14.14,broken clouds
182,Jalingo,NG,8.8833,11.3667,71.98,71.98,97,98,4.12,overcast clouds
183,Mareeba,AU,-17.0,145.4333,83.44,79.48,60,31,5.68,scattered clouds
184,Issaquah,US,47.5301,-122.0326,73.62,67.3,61,100,7.0,overcast clouds
185,Kharagauli,GE,42.0214,43.1977,61.86,61.86,69,0,7.7,clear sky
186,Berea,US,41.3662,-81.8543,70.95,67.21,88,99,1.01,overcast clouds
187,Kaseda,JP,31.4167,130.3167,83.93,83.93,71,99,16.98,overcast clouds
188,Ruteng,ID,-8.6136,120.4721,73.83,73.83,57,9,1.01,clear sky
189,Sungaipenuh,ID,-2.0833,101.3833,74.03,74.03,69,95,1.03,overcast clouds
190,Saint George,US,37.1041,-113.5841,92.62,91.26,28,0,8.05,clear sky
191,Faanui,PF,-16.4833,-151.75,78.87,78.87,71,3,15.01,clear sky
192,Puerto Ayora,EC,-0.7393,-90.3518,66.54,66.54,91,86,1.99,overcast clouds
193,Biak,ID,-0.9131,122.8766,80.91,80.91,70,97,4.52,overcast clouds
194,Nikolskoye,RU,59.7035,30.7861,47.88,38.91,87,100,4.43,overcast clouds
195,Coquimbo,CL,-29.9533,-71.3436,53.33,53.33,76,0,3.44,clear sky
196,Souillac,MU,-20.5167,57.5167,68.38,68.38,88,75,6.91,broken clouds
197,Miyako,JP,39.6367,141.9525,75.52,75.52,75,94,9.48,overcast clouds
198,Arlit,NE,18.7369,7.3853,90.95,90.95,11,8,11.36,clear sky
199,Dikson,RU,73.5069,80.5464,40.14,40.14,91,100,12.28,light rain
200,Inongo,CD,-1.95,18.2667,68.77,68.77,98,100,6.24,overcast clouds
201,Creel,MX,27.75,-107.6333,60.44,60.44,72,94,11.79,overcast clouds
202,Spirit River,CA,55.7833,-118.8361,64.83,64.83,34,8,5.95,clear sky
203,Sitka,US,57.0531,-135.33,55.33,55.33,76,100,4.32,overcast clouds
204,Ninghai,CN,29.2892,121.4247,74.03,74.03,94,100,6.38,overcast clouds
205,Kota Belud,MY,6.351,116.4305,84.36,84.36,64,100,1.41,overcast clouds
206,Luena,AO,-11.7833,19.9167,57.34,57.34,30,1,2.01,clear sky
207,Krasnyy,RU,54.5678,31.4333,44.91,44.91,97,100,11.74,light rain
208,Srandakan,ID,-7.9386,110.2506,81.61,81.61,74,93,4.76,overcast clouds
