City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
517,Puerto Leguizamo,CO,74.5,-0.1934,-74.7819,few clouds,la casona de juancho
519,Puerto Ayacucho,VE,76.77,5.6639,-67.6236,overcast clouds,Posada Turistica Manapiare
520,Cuiluan,CN,76.71,47.72,128.648,few clouds,Shuncheng Hotel
525,Saurimo,AO,68.14,-9.6608,20.3916,scattered clouds,Hotel Kawissa Saurimo
527,Cap Malheureux,MU,68.47,-19.9842,57.6142,clear sky,Pereybere Hotel & Spa
530,Pala,TD,71.6,9.3642,14.9046,overcast clouds,Hotel Pala Palace
531,Ouidah,BJ,76.12,6.3631,2.0851,light rain,Le Jardin Secret Ouidah
533,Natchitoches,US,76.98,31.7668,-93.1335,clear sky,Super 8 by Wyndham Natchitoches
534,Port Hedland,AU,77.05,-20.3167,118.5667,clear sky,The Esplanade Hotel
536,Diebougou,BF,72.03,10.9667,-3.25,light rain,Hotel Le Consulat
540,Macenta,GN,68.59,8.5435,-9.471,overcast clouds,Hôtel Yansané
542,Takoradi,GH,73.22,4.8845,-1.7554,overcast clouds,Raybow International Hotel
543,Zhuanghe,CN,73.33,39.7008,122.9911,few clouds,Hanting Express Dalian Zhuanghe Qiansheng
544,Kutum,SD,76.05,14.2,24.6667,overcast clouds,Dibbo areaمنطقة دبو
549,Sedro-Woolley,US,75.56,48.5039,-122.2361,clear sky,Natural Resources Department
555,Algiers,DZ,71.42,36.7525,3.042,clear sky,Sofitel Algiers Hamma Garden
556,Susurluk,TR,71.38,39.9136,28.1578,clear sky,Çağan Pansiyon
557,Gariaband,IN,74.39,20.635,82.0614,overcast clouds,हंसराज ट्रैक्टर
559,Vrangel,RU,68.04,42.7297,133.0839,overcast clouds,"Отель ""БАЛИ"""
568,Yelahanka,IN,71.51,13.1075,77.6003,broken clouds,Royal Orchid Resort & Convention Centre
569,Itarema,BR,77.5,-2.9248,-39.9167,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
572,Port-Gentil,GA,74.89,-0.7193,8.7815,overcast clouds,Fengshui Residence
579,Grand Gaube,MU,68.38,-20.0064,57.6608,clear sky,Veranda Paul et Virginie Hotel & Spa
584,Camopi,GF,70.59,3.1655,-52.3158,broken clouds,La pousada
586,Juripiranga,BR,72.79,-7.3733,-35.2381,clear sky,Pousada Serra Negra
588,Doka,SD,70.27,13.5167,35.7667,overcast clouds,Um Rakuba Refugee Camp
590,Goderich,CA,70.12,43.7501,-81.7165,overcast clouds,Harmony Inn
591,Payo,ID,74.32,-3.7508,103.6372,overcast clouds,Mess keban agung
592,Aguimes,ES,70.43,27.9054,-15.4461,few clouds,Hotel Villa de Aguimes
593,Eseka,CM,70.68,3.65,10.7667,overcast clouds,Complexe Hotelier Ndjiki Mpeck Eseka II
595,Bama,NG,75.4,11.5221,13.6856,overcast clouds,UN Humanitarian Hub
599,Jawhar,SO,72.64,2.7809,45.5005,overcast clouds,Hotel Shabelle
603,Soyo,AO,71.46,-6.1349,12.3689,few clouds,Hospedaria ndozi'ame
605,Rincon,US,79.86,32.296,-81.2354,broken clouds,Days Inn Rincon
607,Bulungu,CD,71.6,-4.55,18.6,overcast clouds,Maison MC Michel
614,Bac Lieu,VN,75.74,9.285,105.7244,overcast clouds,Khách sạn Sài Gòn Bạc Liêu
616,Brigantine,US,74.05,39.4101,-74.3646,overcast clouds,Legacy Vacation Resorts - Brigantine Beach
617,Sunagawa,JP,73.69,43.4864,141.9056,broken clouds,静香荘
